Grupo de edad;Comunidad autonoma;Sexo;Nivel de formacion;periodo;Total
25 - 64 años;Castilla y Leon;Mujeres;2ª etapa E. Secundaria;2018;23,88
25 - 64 años;Castilla y Leon;Mujeres;E. Superior;2023;45,92
25 - 64 años;Castilla y Leon;Mujeres;E. Superior;2022;44,92
25 - 64 años;Castilla y Leon;Mujeres;E. Superior;2021;45,13
25 - 64 años;Castilla y Leon;Mujeres;E. Superior;2020;43,13
25 - 64 años;Castilla y Leon;Mujeres;E. Superior;2019;42,84
25 - 64 años;Castilla y Leon;Mujeres;E. Superior;2018;40,69
25 - 64 años;Castilla-La Mancha;Hombres;Inferior a 2ª etapa de E. Secundaria;2023;49,43
25 - 64 años;Castilla-La Mancha;Hombres;Inferior a 2ª etapa de E. Secundaria;2022;49,83
25 - 64 años;Castilla-La Mancha;Hombres;Inferior a 2ª etapa de E. Secundaria;2021;49,86
25 - 64 años;Castilla-La Mancha;Hombres;Inferior a 2ª etapa de E. Secundaria;2020;51,33
25 - 64 años;Castilla-La Mancha;Hombres;Inferior a 2ª etapa de E. Secundaria;2019;51,35
25 - 64 años;Castilla-La Mancha;Hombres;Inferior a 2ª etapa de E. Secundaria;2018;52,63
25 - 64 años;Castilla-La Mancha;Hombres;2ª etapa E. Secundaria;2023;20,66
25 - 64 años;Castilla-La Mancha;Hombres;2ª etapa E. Secundaria;2022;21,85
25 - 64 años;Castilla-La Mancha;Hombres;2ª etapa E. Secundaria;2021;22,74
25 - 64 años;Castilla-La Mancha;Hombres;2ª etapa E. Secundaria;2020;21,46
25 - 64 años;Castilla-La Mancha;Hombres;2ª etapa E. Secundaria;2019;21,42
25 - 64 años;Castilla-La Mancha;Hombres;2ª etapa E. Secundaria;2018;21,67
25 - 64 años;Castilla-La Mancha;Hombres;E. Superior;2023;29,91
25 - 64 años;Castilla-La Mancha;Hombres;E. Superior;2022;28,32
25 - 64 años;Castilla-La Mancha;Hombres;E. Superior;2021;27,40
25 - 64 años;Castilla-La Mancha;Hombres;E. Superior;2020;27,21
25 - 64 años;Castilla-La Mancha;Hombres;E. Superior;2019;27,23
25 - 64 años;Castilla-La Mancha;Hombres;E. Superior;2018;25,70
25 - 64 años;Castilla-La Mancha;Mujeres;Inferior a 2ª etapa de E. Secundaria;2023;40,83
25 - 64 años;Castilla-La Mancha;Mujeres;Inferior a 2ª etapa de E. Secundaria;2022;42,50
25 - 64 años;Castilla-La Mancha;Mujeres;Inferior a 2ª etapa de E. Secundaria;2021;41,72
25 - 64 años;Castilla-La Mancha;Mujeres;Inferior a 2ª etapa de E. Secundaria;2020;43,03
25 - 64 años;Castilla-La Mancha;Mujeres;Inferior a 2ª etapa de E. Secundaria;2019;45,59
25 - 64 años;Castilla-La Mancha;Mujeres;Inferior a 2ª etapa de E. Secundaria;2018;47,25
25 - 64 años;Castilla-La Mancha;Mujeres;2ª etapa E. Secundaria;2023;23,44
25 - 64 años;Castilla-La Mancha;Mujeres;2ª etapa E. Secundaria;2022;22,91
25 - 64 años;Castilla-La Mancha;Mujeres;2ª etapa E. Secundaria;2021;22,91
25 - 64 años;Castilla-La Mancha;Mujeres;2ª etapa E. Secundaria;2020;22,43
